Episode,Date,Host,Guest,Project / Company
Episode 164,"May 4, 2011","Aaron Newcomb, Randi Harper",Dustin J. Mitchell,[BuildBot](https://en.wikipedia.org/wiki/BuildBot)
Episode 165,"May 11, 2011","Aaron Newcomb, Dan Lynch",Demise of FLOSS
Episode 166,"May 18, 2011","Randal Schwartz, Dan Lynch",Sam Spilsbury,[Compiz](https://en.wikipedia.org/wiki/Compiz)
Episode 167,"May 25, 2011","Randal Schwartz, Aaron Newcomb",[Matthew Flatt](https://en.wikipedia.org/wiki/Matthew_Flatt),[Racket](Racket_(programming_language)https://en.wikipedia.org/wiki/)
Episode 168,"June 1, 2011",Dan Lynch,"Michael Proper, [David Loper](https://en.wikipedia.org/wiki/David_Loper)",[ClearOS](https://en.wikipedia.org/wiki/ClearOS)
Episode 169,"June 8, 2011","Randal Schwartz, Simon Phipps",[Kohsuke Kawaguchi](https://en.wikipedia.org/wiki/Kohsuke_Kawaguchi),[Jenkins](Jenkins_(software)https://en.wikipedia.org/wiki/)
Episode 170,"June 15, 2011","Randal Schwartz, Randi Harper",Curtis Jewell,[Strawberry Perl](https://en.wikipedia.org/wiki/Strawberry_Perl)
Episode 171,"June 22, 2011","Randal Schwartz, Dan Lynch",[Bradley M. Kuhn](Bradley_M.https://en.wikipedia.org/wiki/_Kuhn),[Software Freedom Conservancy](https://en.wikipedia.org/wiki/Software_Freedom_Conservancy)
Episode 172,"June 29, 2011","Dan Lynch, Aaron Newcomb",[Travis Tidwell](https://en.wikipedia.org/wiki/Travis_Tidwell),MediaFront
Episode 173,"July 6, 2011",Aaron Newcomb,Randal Schwartz,Lessons Learned from [FLOSSing Weekly](https://en.wikipedia.org/wiki/Floss_weekly)
Episode 174,"July 13, 2011","Aaron Newcomb, Dan Lynch",Neal Gompa,Enano CMS
Episode 175,"July 20, 2011","Randal Schwartz, Dan Lynch","Paul Beckingham, [Federico Hernandez](https://en.wikipedia.org/wiki/Federico_Hernandez)",[Taskwarrior](https://en.wikipedia.org/wiki/Taskwarrior)
Episode 176,"August 3, 2011","Randal Schwartz, Randi Harper",[Colin Percival](https://en.wikipedia.org/wiki/Colin_Percival),[Tarsnap](https://en.wikipedia.org/wiki/Tarsnap) and [FreeBSD](https://en.wikipedia.org/wiki/FreeBSD)/[EC2](https://en.wikipedia.org/wiki/Amazon_EC2)
Episode 177,"August 10, 2011","Randal Schwartz, Dan Lynch",Perry McDowell,[Delta3D](https://en.wikipedia.org/wiki/Delta3D)
Episode 178,"August 17, 2011","Randal Schwartz, Randi Harper",[Chris Schoeneman](https://en.wikipedia.org/wiki/Chris_Schoeneman),[Synergy](Synergy_(software)https://en.wikipedia.org/wiki/)
Episode 179,"August 24, 2011","Randal Schwartz, Aaron Newcomb","Leif Hedstrom, Bryan Call",The Apache Traffic Server
Episode 180,"August 31, 2011","Randal Schwartz, Dan Lynch",Adam Armstrong,Observium
Episode 181,"September 7, 2011","Randal Schwartz, Dan Lynch",Tomaz Muraus,Libcloud
Episode 182,"September 14, 2011","Aaron Newcomb, Randi Harper",[Kris Moore](https://en.wikipedia.org/wiki/Kris_Moore),[PC-BSD](PC-https://en.wikipedia.org/wiki/BSD)
Episode 183,"September 21, 2011","Randal Schwartz, Dan Lynch",Jonathan Ellis,[Cassandra](https://en.wikipedia.org/wiki/Apache_Cassandra)
Episode 184,"September 28, 2011","Aaron Newcomb, Simon Phipps",Graziano Obertelli,[Eucalyptus](Eucalyptus_(computing)https://en.wikipedia.org/wiki/)
Episode 185,"October 5, 2011","Dan Lynch, Simon Phipps",[Francis Irving](https://en.wikipedia.org/wiki/Francis_Irving),[ScraperWiki](https://en.wikipedia.org/wiki/ScraperWiki)
Episode 186,"October 12, 2011","Aaron Newcomb, Dan Lynch",Julien Genestoux,[Superfeedr](https://en.wikipedia.org/wiki/Superfeedr)
Episode 187,"October 19, 2011","Randal Schwartz, Aaron Newcomb",Joonas Lehtinen,[Vaadin](https://en.wikipedia.org/wiki/Vaadin)
Episode 188,"October 26, 2011","Randal Schwartz, Dan Lynch",Massimo Di Pierro,[web2py](https://en.wikipedia.org/wiki/web2py)
Episode 189,"November 2, 2011","Randal Schwartz, Aaron Newcomb",Jeffrey Thalhammer,[Perl::Critic](Perl::https://en.wikipedia.org/wiki/Critic)
Episode 190,"November 9, 2011","Randal Schwartz, Simon Phipps",Antonio Scuri,[IUP](IUP_(software)https://en.wikipedia.org/wiki/)
Episode 191,"November 16, 2011","Randal Schwartz, Simon Phipps",Thomas S. Hatch,[Salt](Salt_(software)https://en.wikipedia.org/wiki/)
Episode 192,"November 23, 2011","Dan Lynch, Simon Phipps",Jim Killock,[Open Rights Group](https://en.wikipedia.org/wiki/Open_Rights_Group)
Episode 193,"November 30, 2011","Randal Schwartz, Aaron Newcomb",James Tauber,Pinax
Episode 194,"December 14, 2011","Randal Schwartz, Simon Phipps",[Michael Widenius](https://en.wikipedia.org/wiki/Michael_Widenius),[MySQL](https://en.wikipedia.org/wiki/MySQL) and [MariaDB](https://en.wikipedia.org/wiki/MariaDB)
Episode 195,"December 21, 2011","Randal Schwartz, Aaron Newcomb",[Pieter Hintjens](https://en.wikipedia.org/wiki/Pieter_Hintjens),[ZeroMQ](https://en.wikipedia.org/wiki/ZeroMQ)
Episode 196,"January 4, 2012","Randal Schwartz, Aaron Newcomb","Steve Song, Terry Gillett",[Village Telco](https://en.wikipedia.org/wiki/Village_Telco)
Episode 197,"January 11, 2012","Randal Schwartz, Dan Lynch",Sam Aaron,Overtone
Episode 198,"January 18, 2012","Dan Lynch, Simon Phipps",James T. Nixon III,[FreeNAS](https://en.wikipedia.org/wiki/FreeNAS)
Episode 199,"January 25, 2012","Randal Schwartz, Aaron Newcomb",David Skoll,[Remind](https://en.wikipedia.org/wiki/Remind)
Episode 200,"February 1, 2012","Randal Schwartz, Dan Lynch","Meneghal Rodrigues, Cleber Rosa",[Auto Test](https://en.wikipedia.org/wiki/Auto_Test)
Episode 201,"February 8, 2012","Dan Lynch, Simon Phipps",Sastry Malladi,Turmeric
Episode 202,"February 22, 2012","Dan Lynch, Simon Phipps",Crystal Hammer,[Stunt Rally](https://en.wikipedia.org/wiki/Stunt_Rally)
Episode 203,"March 7, 2012","Randal Schwartz, Dan Lynch","Karsten Wade, Itamar Heim",[oVirt](https://en.wikipedia.org/wiki/oVirt)
Episode 204,"March 14, 2012","Randal Schwartz, Simon Phipps",David Lutterkort,[Deltacloud](https://en.wikipedia.org/wiki/Deltacloud)
Episode 205,"March 28, 2012","Randal Schwartz, Aaron Newcomb","Francesco Vollero, Tomas Sedovic",[Aeolus](Aeolus_(software)https://en.wikipedia.org/wiki/)
Episode 206,"April 4, 2012","Randal Schwartz, Dan Lynch",Yannick Warnier,[Chamilo](https://en.wikipedia.org/wiki/Chamilo)
Episode 207,"April 11, 2012","Randal Schwartz, Aaron Newcomb",Denis Defreyne,[Nanoc](https://en.wikipedia.org/wiki/Nanoc)
Episode 208,"April 25, 2012","Randal Schwartz, Randi Harper",Liz Quilty,Liz Quilty
Episode 209,"May 2, 2012","Randal Schwartz, Simon Phipps",Art Cancro,[Citadel](Citadel_(software)https://en.wikipedia.org/wiki/)
Episode 210,"May 9, 2012","Randal Schwartz, Aaron Newcomb",Sean Schofield,[Spree Commerce](https://en.wikipedia.org/wiki/Spree_Commerce)
Episode 211,"May 16, 2012",Randal Schwartz,Mark Atwood,[OpenShift](https://en.wikipedia.org/wiki/OpenShift)
Episode 212,"May 23, 2012","Randal Schwartz, Aaron Newcomb",Jeff Horelick,[Gentoo](https://en.wikipedia.org/wiki/Gentoo_Linux)
Episode 213,"June 6, 2012","Randal Schwartz, Simon Phipps","Guido Günther, Eric Blake",[libvirt](https://en.wikipedia.org/wiki/libvirt)
Episode 214,"June 13, 2012","Dan Lynch, Simon Phipps","Charles-H. Schulz, [Michael Meeks](Michael_Meeks_(software_developer)https://en.wikipedia.org/wiki/)",[LibreOffice](https://en.wikipedia.org/wiki/LibreOffice)
Episode 215,"June 20, 2012","Randal Schwartz, Dan Lynch",Johannes Book,Excito
Episode 216,"June 28, 2012","Randal Schwartz, Simon Phipps",Geoffrey De Smet,[Drools](https://en.wikipedia.org/wiki/Drools) Planner
Episode 217,"July 11, 2012","Randal Schwartz, Aaron Newcomb","Sebastian Stadil, Julien Rialan",[Scalr](https://en.wikipedia.org/wiki/Scalr)
Episode 218,"July 18, 2012",Randal Schwartz,"Stephen Coller, Simon Phipps",Live at [OSCON](O'https://en.wikipedia.org/wiki/Reilly_Open_Source_Convention)
Episode 219,"July 25, 2012","Dan Lynch, Aaron Newcomb",Adam Jacob,[Chef](Chef_(software)https://en.wikipedia.org/wiki/)
Episode 220,"August 1, 2012","Aaron Newcomb, Dan Lynch","Karl Anderson, Darren Schreiber",Kazoo
Episode 221,"August 8, 2012","Randal Schwartz, Simon Phipps","Giancarlo Niccolai, Paul Davey",The Falcon Programming Language
Episode 222,"August 15, 2012","Randal Schwartz, Simon Phipps",John Mertic,[SugarCRM](https://en.wikipedia.org/wiki/SugarCRM)
Episode 223,"August 22, 2012","Randal Schwartz, Aaron Newcomb",Paolo Juvara,[Openbravo](https://en.wikipedia.org/wiki/Openbravo)
Episode 224,"August 29, 2012","Randal Schwartz, Dan Lynch",Ed Boyajian,[PostgreSQL](https://en.wikipedia.org/wiki/PostgreSQL) and [EnterpriseDB](https://en.wikipedia.org/wiki/EnterpriseDB)
Episode 225,"September 5, 2012","Randal Schwartz, Dan Lynch",[Jessica McKellar](https://en.wikipedia.org/wiki/Jessica_McKellar),[Twisted](Twisted_(software)https://en.wikipedia.org/wiki/)
Episode 226,"September 13, 2012","Randal Schwartz, Aaron Newcomb","Eric Stackpole, Bran Soren",[OpenROV](https://en.wikipedia.org/wiki/OpenROV)
Episode 227,"September 19, 2012","Randal Schwartz, Simon Phipps",Matt Geise,[Jaspersoft](JasperReports#https://en.wikipedia.org/wiki/Jaspersoft)
Episode 228,"October 3, 2012","Randal Schwartz, Dan Lynch",Dr. Flavio Villanustre,[HPCC](https://en.wikipedia.org/wiki/HPCC) Systems
Episode 229,"October 17, 2012","Randal Schwartz, Dan Lynch","Dor Laor, Avi Kivityr",[KVM](Kernel-https://en.wikipedia.org/wiki/based_Virtual_Machine)
Episode 230,"October 24, 2012","Aaron Newcomb, Simon Phipps","Rob Taylor, Lars Wirzenius",Baserock
Episode 231,"October 31, 2012","Aaron Newcomb, Dan Lynch","Steve Loranz, Ian McLeod",imagefactory
Episode 232,"November 7, 2012","Randal Schwartz, Aaron Newcomb",Guillaume Binet,Err Chatbot
Episode 233,"November 21, 2012","Randal Schwartz, Simon Phipps",David Mason,Zanata
Episode 234,"November 28, 2012","Randal Schwartz, Aaron Newcomb",Ohad Levy,The Foreman
Episode 235,"December 5, 2012","Randal Schwartz, Dan Lynch",Jeff Fischer,Broadleaf Commerce
Episode 236,"December 19, 2012","Randal Schwartz, Simon Phipps",Michael Snoyman,[Yesod](Yesod_(web_framework)https://en.wikipedia.org/wiki/)
Episode 237,"January 9, 2013","Randal Schwartz, Aaron Newcomb",Matt Ranney,[Node.js](Node.https://en.wikipedia.org/wiki/js)
Episode 238,"January 16, 2013","Randal Schwartz, Dan Lynch",Denis Bilenko,Gevent
Episode 239,"January 23, 2013","Randal Schwartz, Simon Phipps",Franz Maruna,[Concrete CMS](https://en.wikipedia.org/wiki/concrete5)
Episode 240,"January 30, 2013","Randal Schwartz, Dan Lynch",Georg Holzmann,Auphonic
Episode 241,"February 6, 2013","Randal Schwartz, Aaron Newcomb","Steffen Schwigon, Maik Hentsche",Tapper
Episode 242,"February 13, 2013","Dan Lynch, Randi Harper",Christopher Webber,[MediaGoblin](https://en.wikipedia.org/wiki/MediaGoblin)
Episode 243,"February 20, 2013","Aaron Newcomb, Dan Lynch","Arjan Scherpenisse, Marc Worrell",Zotonic
Episode 244,"March 6, 2013","Aaron Newcomb, Randi Harper",Mark Story,[CakePHP](https://en.wikipedia.org/wiki/CakePHP)
Episode 245,"March 20, 2013","Randal Schwartz, Aaron Newcomb",Seth Ladd,[Dart](Dart_(programming_language)https://en.wikipedia.org/wiki/)
Episode 246,"March 27, 2013","Randal Schwartz, Aaron Newcomb",Jeff Thalhammer,Pinto
Episode 247,"April 10, 2013","Randal Schwartz, Randi Harper","Chip Childers, David Nalley",[Apache CloudStack](https://en.wikipedia.org/wiki/Apache_CloudStack)
Episode 248,"April 17, 2013","Randal Schwartz, Dan Lynch",Dwayne Bailey,[Pootle](https://en.wikipedia.org/wiki/Pootle)
Episode 249,"April 24, 2013","Randal Schwartz, Aaron Newcomb",Michal Cihar,[Weblate](https://en.wikipedia.org/wiki/Weblate)
Episode 250,"May 1, 2013","Randal Schwartz, Aaron Newcomb",Sage Weil,[Ceph](Ceph_(software)https://en.wikipedia.org/wiki/)
Episode 251,"May 8, 2013","Dan Lynch, Randi Harper",Steven Hazel,Sauce Labs
Episode 252,"May 22, 2013","Randal Schwartz, Simon Phipps",Jono Bacon,[Ubuntu Phone](https://en.wikipedia.org/wiki/Ubuntu_Touch)
Episode 253,"May 29, 2013","Randal Schwartz, Dan Lynch",[Roberto Rosario](https://en.wikipedia.org/wiki/Roberto_Rosario),[Mayan EDMS](Mayan_(software)https://en.wikipedia.org/wiki/)
Episode 254,"June 5, 2013","Randal Schwartz, Dan Lynch","Gerald Spreer, Ian Barrow",The Maker
Episode 255,"June 12, 2013","Randal Schwartz, Aaron Newcomb",Keith Casey,[web2project](https://en.wikipedia.org/wiki/web2project)
Episode 256,"June 26, 2013","Randal Schwartz, Aaron Newcomb",David Carver,Serenity for Android
Episode 257,"July 17, 2013","Randal Schwartz, Gareth Greenaway",Michael DeHaan,[Ansibleworks](Ansible_(software)https://en.wikipedia.org/wiki/)
Episode 258,"July 24, 2013","Randal Schwartz, Simon Phipps",John Dickinson,[OpenStack](https://en.wikipedia.org/wiki/OpenStack) Swift
Episode 259,"July 31, 2013","Randal Schwartz, Simon Phipps","Jeff Hawkins, [Mark Shuttleworth](https://en.wikipedia.org/wiki/Mark_Shuttleworth), et al.",[OSCON](O'https://en.wikipedia.org/wiki/Reilly_Open_Source_Convention) 2013
Episode 260,"August 7, 2013","Randal Schwartz, Gareth Greenaway",Ton Voon,Opsview
Episode 261,"August 14, 2013","Randal Schwartz, Dan Lynch","Zohar Babin, Michael Dale",[Kaltura](https://en.wikipedia.org/wiki/Kaltura)
Episode 262,"August 21, 2013","Randal Schwartz, Gareth Greenaway",Thomas Hatch,[SaltStack Redux](Salt_(software)https://en.wikipedia.org/wiki/)
Episode 263,"September 4, 2013","Aaron Newcomb, Dan Lynch","Martin Leadbeater, Mike O'Connor",ClockWork
Episode 264,"September 11, 2013",Dan Lynch,Jon Spriggs,CampFireManager
Episode 265,"September 18, 2013","Randal Schwartz, Aaron Newcomb",Gregers Petersen,[OpenWrt](https://en.wikipedia.org/wiki/OpenWrt)
Episode 266,"September 25, 2013","Randal Schwartz, Gareth Greenaway",Kyle Johnson,[ZoneMinder](https://en.wikipedia.org/wiki/ZoneMinder)
Episode 267,"October 2, 2013","Randal Schwartz, Aaron Newcomb",Michael Christen,[YaCy](https://en.wikipedia.org/wiki/YaCy)
Episode 268,"October 9, 2013","Dan Lynch, Gareth Greenaway",Gerald Combs,[Wireshark](https://en.wikipedia.org/wiki/Wireshark)
Episode 269,"October 16, 2013","Randal Schwartz, Aaron Newcomb",Jason Kridner,[Beagleboard](https://en.wikipedia.org/wiki/Beagleboard)
Episode 270,"October 23, 2013","Randal Schwartz, Gareth Greenaway",Tim Sutton,[QGIS](https://en.wikipedia.org/wiki/QGIS)
Episode 271,"October 30, 2013","Randal Schwartz, Gareth Greenaway","Robert Schweikert, Jos Poortvliet",[OpenSUSE](https://en.wikipedia.org/wiki/OpenSUSE) Summit
Episode 272,"November 6, 2013","Dan Lynch, Aaron Newcomb",Thomas Perl,gPodder
Episode 273,"November 13, 2013","Aaron Newcomb, Gareth Greenaway","Dave Neary, Rich Bowen",RDO
Episode 274,"November 27, 2013","Simon Phipps, Dan Lynch",Frank Karlitschek,[ownCloud](https://en.wikipedia.org/wiki/ownCloud)
Episode 275,"December 4, 2013","Aaron Newcomb, Dan Lynch",Carlos Puchol,Amahi redo
Episode 276,"December 11, 2013","Randal Schwartz, Gareth Greenaway","Tony Lewis, Andrew Nagy",[FreePBX](https://en.wikipedia.org/wiki/FreePBX)
Episode 277,"December 18, 2013","Randal Schwartz, Gareth Greenaway","Tobias Mattsson, Zak Greant",[Magnolia](Magnolia_(CMS)https://en.wikipedia.org/wiki/) and Blossom
Episode 278,"January 8, 2014","Randal Schwartz, Aaron Newcomb",Jacob Cook,arkOS
Episode 279,"January 15, 2014","Randal Schwartz, Gareth Greenaway","Orv Beach, Ilan Rabinovitch",SCaLE 12X
Episode 280,"January 22, 2014","Randal Schwartz, Simon Phipps",[Roberto Rosario](https://en.wikipedia.org/wiki/Roberto_Rosario),LIBRE API
Episode 281,"January 29, 2014","Randal Schwartz, Guillermo Amaral","Mo Morsi, Nico Satragno",Omegaverse
Episode 282,"February 5, 2014","Randal Schwartz, Randi Harper",Jeremiah C. Foster,[GENIVI](https://en.wikipedia.org/wiki/GENIVI_Alliance)
Episode 283,"February 12, 2014","Randal Schwartz, Aaron Newcomb",Sarah Novotny,[nginx](https://en.wikipedia.org/wiki/nginx)
Episode 284,"February 19, 2014","Randal Schwartz, Dan Lynch",Francesc Campoy Flores,[The Go Language](Go_(programming_language)https://en.wikipedia.org/wiki/)
Episode 285,"February 26, 2014","Randal Schwartz, Aaron Newcomb",Chris Burroughs,Hydra
Episode 286,"March 5, 2014","Randal Schwartz, Guillermo Amaral","Tom Spilman, Dominique Louis",[MonoGame](https://en.wikipedia.org/wiki/MonoGame)
Episode 287,"March 12, 2014","Randal Schwartz, Joe Bronkmeier",Christian Mueller,[TYPO3](https://en.wikipedia.org/wiki/TYPO3)
Episode 288,"March 19, 2014","Randal Schwartz, Gareth Greenaway","Gabriela Brenes, Luis Falcón",[GNU Health](https://en.wikipedia.org/wiki/GNU_Health)
Episode 289,"April 9, 2014","Aaron Newcomb, Dan Lynch","Ed Cable, Vishwas Babu",Mifos X
Episode 290,"April 16, 2014","Randal Schwartz, Gareth Greenaway",Johnathan Xu,Seafile
Episode 291,"April 23, 2014","Randal Schwartz, Simon Phipps","Ross Reedstrom, Kathi Fletcher",[OpenStax CNX](https://en.wikipedia.org/wiki/OpenStax_CNX)
Episode 292,"May 1, 2014","Randal Schwartz, Joe Brockmeier",Simon St.Laurent,[OSCON](O'https://en.wikipedia.org/wiki/Reilly_Open_Source_Convention)
Episode 293,"May 7, 2014","Randal Schwartz, Guillermo Amaral",Emil Ivov,[Jitsi](https://en.wikipedia.org/wiki/Jitsi) Meet
Episode 294,"May 14, 2014","Randal Schwartz, Dan Lynch","Mark A. Matienzo, Mark Breedlove",[Digital Public Library of America](https://en.wikipedia.org/wiki/Digital_Public_Library_of_America)
Episode 295,"May 21, 2014","Randal Schwartz, Randi Harper","Mike Gabriel, Michael DePaulo",X2Go
Episode 296,"May 28, 2014","Randal Schwartz, Aaron Newcomb","Liam Randall, Seth Hall",[Bro](Bro_(software)https://en.wikipedia.org/wiki/)
Episode 297,"June 4, 2014","Randal Schwartz, Gareth Greenaway",Simon Tennant,Buddycloud
Episode 298,"June 18, 2014","Dan Lynch, Joe Brockmeier",Petar Maymounkov,Tonika
Episode 299,"July 2, 2014","Randal Schwartz, Gareth Greenaway",Jeremy Davis,[Turnkey Linux](https://en.wikipedia.org/wiki/TurnKey_Linux_Virtual_Appliance_Library)
Episode 300,"July 9, 2014","Randal Schwartz, Aaron Newcomb, Dan Lynch",Chris DiBona,The Big 300
Episode 301,"July 16, 2014",Randal Schwartz,"Arun Gupta, Simon St. Laurent",OSCON Kids Day
Episode 302,"July 23, 2014","Randal Schwartz, Simon Phipps",Dr. Anil Madhavapeddy,Open Mirage
Episode 303,"July 30, 2014","Randal Schwartz, Dan Lynch","Manuel Araoz, Ryan X Charles",Bitcore
Episode 304,"August 13, 2014","Randal Schwartz, Gareth Greenaway",Bryan Smith,Fossetcon
Episode 305,"August 20, 2014","Randal Schwartz, Aaron Newcomb",Jodok Batlogg,Crate Data
Episode 306,"August 28, 2014","Dan Lynch, Guillermo Amaral",Hadley Wickham,[RStudio](https://en.wikipedia.org/wiki/RStudio)
Episode 307,"September 3, 2014","Joe Brockmeier, Gareth Greenaway",Hugh Howey,Self-Publishing
Episode 308,"September 10, 2014","Randal Schwartz, Dan Lynch",Jonathon Morgan,CrisisNET
Episode 309,"September 17, 2014","Aaron Newcomb, Guillermo Amaral",David E. Wheeler,Sqitch
Episode 310,"October 1, 2014","Gareth Greenaway, Guillermo Ameral",Randal Schwartz,Ask Randal Anything!
Episode 311,"October 8, 2014","Randal Schwartz, Dan Lynch","Andrei Alexandrescu, Walter Bright",[The D Language](D_(programming_language)https://en.wikipedia.org/wiki/)
Episode 312,"October 15, 2014","Aaron Newcomb, Guillermo Amaral",Kai Kreuzer,openHAB
Episode 313,"October 22, 2014","Randal Schwartz, Simon Phipps",Artur Ven,[FenixEdu](https://en.wikipedia.org/wiki/FenixEdu)
Episode 314,"October 29, 2014","Randal Schwartz, Guillermo Amaral",Brandon Philips,[CoreOS](https://en.wikipedia.org/wiki/CoreOS)
Episode 315,"November 5, 2014","Aaron Newcomb, Gareth Greenaway",Slava Akhmechet,RethinkDB
Episode 316,"November 19, 2014","Randal Schwartz, Dan Lynch",Emily Richards,[ccMixter](https://en.wikipedia.org/wiki/ccMixter)
Episode 317,"November 26, 2014","Randal Schwartz, Aaron Newcomb",Will Gorman,[Pentaho](https://en.wikipedia.org/wiki/Pentaho)
Episode 318,"December 10, 2014","Simon Phipps, Dan Lynch",[Jeff Kaufman](https://en.wikipedia.org/wiki/Jeff_Kaufman),mod_pagespeed
Episode 319,"December 17, 2014","Randal Schwartz, Joe Brockmeier",Mathew Miller,[Fedora 21](Fedora_(operating_system)https://en.wikipedia.org/wiki/)
Episode 320,"January 7, 2015","Randal Schwartz, Guillermo Amaral",[Richard Hipp](https://en.wikipedia.org/wiki/Richard_Hipp),[Fossil](Fossil_(software)https://en.wikipedia.org/wiki/)
Episode 321,"January 14, 2015","Randal Schwartz, Gareth Greenaway",Andrew Roland,Marpa
Episode 322,"January 21, 2015","Randal Schwartz, Guillermo Amaral",Aaron Seigo,[Kolab](https://en.wikipedia.org/wiki/Kolab)
Episode 323,"January 28, 2015","Randal Schwartz, Gareth Greenaway",Avni Khatri,Kids On Computers
Episode 324,"February 4, 2015","Randal Schwartz, Aaron Newcomb",Boudewijn Rempt,[Krita](https://en.wikipedia.org/wiki/Krita)
Episode 325,"February 11, 2015","Randal Schwartz, Dan Lynch",Andrea Antonello,Geopaparazzi
Episode 326,"February 25, 2015","Randal Schwartz, Dan Lynch","Patrick Masson, Simon Phipps",[The Open Source Initiative](https://en.wikipedia.org/wiki/Open_Source_Initiative)
Episode 327,"March 4, 2015","Randal Schwartz, Aaron Newcomb",Aaron Titus,Cleanup Crisis
Episode 328,"March 11, 2015","Randal Schwartz, Dan Lynch",Evan Powell,StackStorm
Episode 329,"March 18, 2015","Simon Phipps, Dan Lynch",Simon Bennetts,OWASP ZAP
Episode 330,"April 1, 2015","Randal Schwartz, Gareth Greenaway",Solomon Hykes,[Docker](Docker_(software)https://en.wikipedia.org/wiki/)
Episode 331,"April 8, 2015","Randal Schwartz, Dan Lynch",Randi Harper,OAPI
Episode 332,"April 15, 2015","Randal Schwartz, Guillermo Amaral","Ramiro Neves, Ricardo Miranda",MOHID
Episode 333,"April 22, 2015","Randal Schwartz, Dan Lynch",Tim Pritlove,Podlove
Episode 334,"April 29, 2015","Randal Schwartz, Gareth Greenaway","Kirill Kolyshkin, Pavel Emelyanov",[CRIU](https://en.wikipedia.org/wiki/CRIU)
Episode 335,"May 6, 2015","Randal Schwartz, Dan Lynch",Pablo Ruiz,Taiga.io
Episode 336,"May 13, 2015","Randal Schwartz, Guillermo Amaral","Mike Meyer, Geoffrey Hausheer",deviationTx
Episode 337,"May 20, 2015","Randal Schwartz, Simon Phipps","Stephen Pair, Matias Alejo Garcia",Copay
Episode 338,"May 27, 2015","Randal Schwartz, Dan Lynch","Andrew Dixon, Gert Franz",[Lucee](https://en.wikipedia.org/wiki/Lucee)
Episode 339,"June 3, 2015","Dan Lynch, Gareth Greenway","Ilya Dmitrichenko, Bryan Boreham",Weave
Episode 340,"June 10, 2015","Randal Schwartz, Aaron Newcomb",Mounir Idrassi,[VeraCrypt](https://en.wikipedia.org/wiki/VeraCrypt)
Episode 341,"June 17, 2015","Randal Schwartz, Guillermo Amaral",Pierros Papadeas,[SatNOGS](https://en.wikipedia.org/wiki/SatNOGS)
Episode 342,"June 24, 2015","Randal Schwartz, Gareth Greenaway","Joey Krug, Dr. Jack Peterson",[Augur](Augur_(Prediction_Market)https://en.wikipedia.org/wiki/)
Episode 343,"July 1, 2015","Randal Schwartz, Guillermo Amaral","Anthony Minessale, Michael Jerris",[FreeSWITCH](https://en.wikipedia.org/wiki/FreeSWITCH)
Episode 344,"July 8, 2015","Aaron Newcomb, Guillermo Amaral",Rachel Roumeliotis,[OSCON](O'https://en.wikipedia.org/wiki/Reilly_Open_Source_Convention) Preview
Episode 345,"July 8, 2015","Randal Schwartz, Dan Lynch",Dmitri Popov,[digiKam](https://en.wikipedia.org/wiki/digiKam)
Episode 346,"July 22, 2015","Randal Schwartz, Simon Phipps",Heather McKelvey,[Basho](https://en.wikipedia.org/wiki/Basho_Technologies) Update
Episode 347,"July 29, 2015","Randal Schwartz, Guillermo Amaral","Bear, Peter Saint-Andre",Talky
Episode 348,"August 5, 2015","Aaron Newcomb, Dan Lynch",Simon Anderson,[OpenStack](https://en.wikipedia.org/wiki/OpenStack) Turns 5 Years Old
Episode 349,"August 12, 2015","Aaron Newcomb, Guillermo Amaral",Brandon Philips,Tectonic
Episode 350,"August 19, 2015","Randal Schwartz, Dan Lynch",Harlan Stenn,[NTP](https://en.wikipedia.org/wiki/Network_Time_Protocol)
Episode 351,"August 26, 2015","Randal Schwartz, Aaron Newcomb","Brian Grant, Tim Hockin",[Kubernetes](https://en.wikipedia.org/wiki/Kubernetes)
Episode 352,"September 1, 2015","Randal Schwartz, Gareth Greenaway","Michael Rash, Jonathan Bennett",fwknop
Episode 353,"September 8, 2015","Randal Schwartz, Simon Phipps",Benoit Minisini,[Gambas](https://en.wikipedia.org/wiki/Gambas)
Episode 354,"September 16, 2015","Randal Schwartz, Guillermo Amaral",Bernd Erk,[Icinga](https://en.wikipedia.org/wiki/Icinga)
Episode 355,"September 23, 2015","Randal Schwartz, Guillermo Amaral","Anselm R Garbe, Kai Hendry",[Suckless](https://en.wikipedia.org/wiki/Suckless)
Episode 356,"September 30, 2015","Randal Schwartz, Aaron Newcomb",Joshua Lifton,Crowd Supply
Episode 357,"October 7, 2015","Randal Schwartz, Aaron Newcomb",Julius Volz,Prometheus
Episode 358,"October 13, 2015","Randal Schwartz, Aaron Newcomb",Martin Sustrik,Libmill
Episode 359,"October 20, 2015","Randal Schwartz, Guillermo Amaral",Tim Ansell,Numato Opsis
Episode 360,"October 27, 2015","Randal Schwartz, Aaron Newcomb","Ryan Cousins, David Scheltema",Snickerdoodle
Episode 361,"November 3, 2015","Randal Schwartz, Gareth Greenaway",Jos Schellevis,[OPNsense](https://en.wikipedia.org/wiki/OPNsense)
Episode 362,"November 10, 2015","Randal Schwartz, Aaron Newcomb",Kasper Lund,Dart Update
Episode 363,"November 17, 2015","Randal Schwartz, Guillermo Amaral",Peter Rabbitson,DBIx::Class
Episode 364,"November 24, 2015","Aaron Newcomb, Guillermo Amaral","Matt Holt, Abiola Ibrahim",Caddy
